site_number	state	sequence_number	attendance_schedule
00103.*A	AL	1	UNATNDD
00106.*A	AL	1	UNATNDD
00108.*A	AL	1	UNATNDD
00110.*A	AL	1	ALL/ALL/0700-1900
00110.01*H	AL	1	ALL/ALL/ALL
00112.1*A	AL	1	ALL/MON-SAT/0700-DUSK
00112.1*A	AL	2	ALL/SUN/1230-DUSK
00116.*A	AL	1	ALL/MON-FRI/0800-1700
00119.*A	AL	1	UNATNDD
00124.*A	AL	4	ALL/SAT/0800-1630
00124.*A	AL	5	ALL/MON - FRI/0700-0000
00128.*A	AL	2	ALL/MON-FRI/0700-1800
00128.*A	AL	3	ALL/SAT-SUN/0800-1700
00128.01*H	AL	1	UNATNDD
00128.02*H	AL	1	ALL/MON-FRI/0800-1630
00133.5*A	AL	1	ALL/MON-FRI/DALGT
00134.*H	KY	1	UNATNDD
00135.*A	AL	2	UNATNDD
00135.01*H	AL	1	ALL/ALL/ALL
00137.*A	AL	1	UNATNDD
00139.*H	AL	1	UNATNDD
00140.1*A	AL	1	ALL/MON-FRI/0700-1700
00146.*A	AL	2	ALL/MON-FRI/0700-1900
00146.*A	AL	3	ALL/SAT-SUN/0800-1700
00155.*A	AL	3	ALL/ALL/0800-1700
00155.31*A	AL	1	ON CALL
00155.32*H	AL	1	ALL/ALL/DAWN-DUSK
00157.1*A	AL	1	ALL/ALL/0800-1800
00157.11*H	AL	1	ALL/ALL/ALL
00164.*A	AL	1	ALL/ALL/ALL
00164.05*H	AL	1	ALL/ALL/ALL
00164.06*H	AL	1	ALL/ALL/ALL
00164.07*H	AL	1	UNATNDD
00164.08*H	AL	1	IREG
00164.11*H	AL	1	UNATNDD
00164.12*H	AL	1	UNATNDD
00164.16*H	AL	1	ALL/ALL/ALL
00164.18*H	AL	1	UNATNDD
00164.19*H	AL	1	UNATNDD
00164.21*H	AL	1	UNATNDD
00164.9*A	AL	1	UNATNDD
00170.*A	AL	1	UNATNDD
00174.*H	AL	1	UNATNDD
00174.02*A	AL	1	UNATNDD
00180.*A	AL	1	UNATNDD
00183.0*A	AL	1	UNATTND
00186.*A	AL	1	ALL/MON-FRI/0730-1700
00186.*A	AL	2	ALL/SAT/0830-1700
00186.01*H	AL	1	UNATNDD
00189.*H	AL	1	UNATNDD
00199.003*H	AL	1	UNATNDD
00199.1*A	AL	1	UNATNDD
00207.1*A	AL	1	UNATNDD
00210.*A	AL	1	UNATNDD
00218.11*A	AL	1	ALL/ALL/ALL
00218.12*A	AL	1	UNATNDD
00218.7*A	AL	1	UNATNDD
00225.*A	AL	1	UNATNDD
00226.5*A	AL	1	UNATNDD
00226.51*A	AL	1	UNATNDD
00227.22*H	AL	1	UNATNDD
00228.*H	AL	1	ON CALL/ALL/ALL
00233.*A	AL	2	ALL/MON-FRI/0800-1700
00233.1*A	AL	1	UNATNDD
00234.*A	AL	1	UNATNDD
00241.*A	AL	1	UNATNDD
00241.19*H	AL	1	UNATNDD
00244.7*H	AL	1	UNATNDD
00245.*A	AL	1	ALL/MON-FRI/1400-1600
00245.*A	AL	2	ALL/SAT/0800-1200
00245.6*A	AL	1	UNATNDD
00246.*A	AL	1	UNATNDD
00248.3*A	AL	1	ALL/ALL/0700-1700
00248.32*H	AL	1	ALL/ALL/ALL
00249.4*H	AL	1	UNATNDD
00250.1*A	AL	1	UNATNDD
00250.13*H	AL	1	ALL/ALL/ON CALL
00250.2*A	AL	1	UNATNDD
00251.*A	AL	1	ALL/MON-FRI/0700-1800
00251.*A	AL	2	ALL/SAT-SUN/0800-1800
00251.02*H	AL	1	UNATNDD
00254.*A	AL	1	ALL/ALL/0800-1700
00254.01*H	AL	1	ALL/ALL/ALL
00266.21*H	AL	1	UNATNDD
00266.22*H	AL	1	ALL/ALL/ALL
00267.*A	AL	1	ALL/ALL/ALL
00267.2*A	AL	2	UNATTENDED/UNATTENDED/UNATTENDED
00267.6*A	AL	1	UNATNDD
00267.7*A	AL	1	ALL/ALL/DALGT
00267.81*A	AL	1	UNATNDD
00269.*A	AL	1	UNATNDD
00287.1*A	AL	1	ALL/MONDAY - FRIDAY/0700 - 1700
00287.1*A	AL	2	ALL/SATURDAY/0800 - 1700
00290.*A	AL	1	MAR-OCT/ALL/0800-1700
00290.*A	AL	2	NOV-FEB/ALL/0700-1600
00293.*A	AL	1	UNATNDD
00296.*A	AL	1	ALL/ALL/0800-1700
