category	category_id	description
site_number	DLID	Landing facility site number - a unique identifying number which, together with the landing facility type code, forms the key to the airport record. (ex. 04508.*A)
type	DLID	Landing facility type. (ex. Airport, Balloonport, Seaplane Base, Gliderport, Heliport, Stolport, Ultralight)
location_id	E7	Location identifier unique 3-4 character alphanumeric identifier assigned to the landing facility. (ex. 'ORD' for Chicago O'Hare)
effective_date		Information effective date (mm/dd/yyyy). This date coincides with the 56-day charting and publication cycle date.
region	A6	FAA region code. (ex. AAL - Alaska, ACE - Central, AEA - Eastern, AGL - Great Lakes, AIN - International, ANE - New England, ANM - Northwest Mountain, ASO - Southern, ASW - Southwest, AWP - Western-Pacific)
state	A4	Associated state post office code standard two letter abbreviation for u.s. states and territories. (ex. IL, PR, CQ)
state_name	A4	Associated state name. (ex. Illinois)
county	A5	Associated county (or parish) name. (ex. Cook)
city	A1	Associated city name. (ex. Chicago)
facility_name	A2	Official facility name. (ex. Chicago O'Hare Intl)
ownership	A10	Airport ownership type. (ex. PU - publicly owned, PR - privately owned, MA - air force owned, MN - navy owned, MR - army owned)
use	A18	Facility use. (ex. PU - open to the public, PR - private)
owner	A11	Facility owner's name.
owner_address	A12	Owner's address.
owner_csz	A12A	Owner's city, state and zip code.
owner_phone	A13	Owner's phone number. (data formats: nnn-nnn-nnnn (area code + phone number), 1-nnn-nnnn (dial 1-800 then number), 8-nnn-nnnn (dial 800 then number)
manager	A14	Facility manager's name.
manager_address	A15	Manager's address.
manager_csz	A15A	Manager's city, state and zip code.
manager_phone	A16	Manager's phone number. (data formats: nnn-nnn-nnnn (area code + phone number), 1-nnn-nnnn (dial 1-800 then number), 8-nnn-nnnn (dial 800 then number)
arp_latitude_s	A19S	Airport reference point latitude (seconds).
arp_longitude_s	A20S	Airport reference point longitude (seconds).
arp_elevation	A21	Airport elevation (nearest foot MSL). Elevation is measured at the highest point on the centerline of the usable landing surface. (ex. 1200; -10 for 10 feet below sea level)
magnetic_variation	E28	Magnetic variation and direction magnetic variation to nearest degree. (ex. 03W)
magnetic_variation_year	E28	Magnetic variation epoch year. (ex. 1985)
traffic_pattern_altitude	E147	Traffic pattern altitude (whole feet AGL). (ex. 1000)
