	site_number	state	runway_id	runway_length	runway_width	runway_surface_type_cond	runway_surface_treatment	edge_lights_intensity	base_end_id	base_true_alignment	base_ils_type	base_right_pattern	base_markings_type	base_markings_cond	base_latitude	base_latitude_s	base_longitude	base_longitude_s	base_elevation	base_crossing_height	base_glide_path_angle	base_displaced_length	base_vasi	base_centerline_lights	base_touchdown_lights	base_object	base_object_height	reciprocal_end_id	rcpr_true_alignment	rcpr_ils_type	rcpr_right_pattern	rcpr_markings_type	rcpr_markings_cond	rcpr_latitude	rcpr_latitude_s	rcpr_longitude	rcpr_longitude_s	rcpr_elevation	rcpr_crossing_height	rcpr_glide_path_angle	rcpr_displaced_length	rcpr_vasi	rcpr_centerline_lights	rcpr_touchdown_lights	rcpr_object	rcpr_object_height	runway_capacity_lbs_sw	runway_capacity_lbs_dw	runway_capacity_lbs_dt	runway_capacity_lbs_ddt	base_tora	base_toda	base_asda	base_lda	rcpr_tora	rcpr_toda	rcpr_asda	rcpr_lda
0	00103.*A	AL	'17/35	2900	80	ASPH-CONC-F	AFSC	MED	17	172.0		False	BSC	F	31-36-14.9900N	113774.9900N	085-14-20.2000W	306860.2000W	463.1			300.0				PLINE	36.0	35	352.0		False	BSC	F	31-35-46.5600N	113746.5600N	085-14-15.6200W	306855.6200W	462.8							TREE	28.0												
1	00106.*A	AL	'05/23	2644	112	TURF-G			05	49.0			NSTD		34-12-53.1000N	123173.1000N	087-09-41.2200W	313781.2200W	786.0							TREES	32.0	23	229.0			NSTD		34-13-10.3200N	123190.3200N	087-09-17.5200W	313757.5200W	776.0							TREES	25.0												
2	00108.*A	AL	'01/19	2002	60	TURF-G			01													400.0				TREES	23.0	19													600.0				PLINE	25.0												
3	00108.*A	AL	'07/25	1104	60	TURF-G			07																			25																														
4	00110.*A	AL	'16/34	5000	75	ASPH-G		MED	16	157.0		False	NPI	G	33-11-02.8099N	119462.8099N	086-47-10.9568W	312430.9568W	572.7	57.0	3.5		P4L			BLDG	70.0	34	337.0		True	NPI	G	33-10-17.1992N	119417.1992N	086-46-48.1798W	312408.1798W	585.6	44.0	4.0		P4L			BLDG	60.0	16.0											
5	00110.01*H	AL	'H1	50	50	CONC			H1						33-15-00.4100N	119700.4100N	086-48-49.9600W	312529.9600W	510.0																																							
6	00112.1*A	AL	'05/23	6114	100	ASPH-F	GRVD	MED	05	48.0		False	NPI	P	34-13-24.6869N	123204.6869N	086-15-47.9111W	310547.9111W	1002.7	42.0	3.0		P2L			TREES	55.0	23	228.0		False	NPI	P	34-14-04.8966N	123244.8966N	086-14-53.5273W	310493.5273W	1032.3	42.0	3.0		P2L			TREE	55.0	60.0	90.0	130.0									
7	00116.*A	AL	'18/36	5422	96	ASPH-F	GRVD	MED	18	178.0		False	NPI	G	32-55-19.8713N	118519.8713N	085-57-48.0006W	309468.0006W	685.8	57.0	3.0	623.0	P4L			TREES	47.0	36	358.0		False	NPI	G	32-54-26.2822N	118466.2822N	085-57-45.2549W	309465.2549W	611.9	50.0	3.0		P4L			TREES	24.0	30.0											
8	00119.*A	AL	'06/24	5001	80	ASPH-G		MED	06	62.0		False	NPI	G	33-06-12.5300N	119172.5300N	088-12-15.7000W	317535.7000W	142.8								7.0	24	242.0		False	NPI	G	33-06-36.0300N	119196.0300N	088-11-23.9600W	317483.9600W	149.8								72.0												
9	00124.*A	AL	'11/29	6000	100	ASPH-G		MED	11	107.0			NPI	F	31-18-38.5737N	112718.5737N	086-24-05.1514W	311045.1514W	309.9	33.0	3.0		P4R			TREES	43.0	29	287.0			NPI	F	31-18-21.5636N	112701.5636N	086-22-58.8933W	310978.8933W	299.9	47.0	3.5		P4L					98.0	160.0	275.0									
10	00128.*A	AL	'05/23	7000	150	ASPH-G	GRVD	HIGH	05	48.0	ILS	True	PIR	F	33-34-54.4446N	120894.4446N	085-52-00.1779W	309120.1779W	594.7	40.0	3.0		P4L					23	228.0		False	NPI	F	33-35-40.3670N	120940.3670N	085-50-58.2419W	309058.2419W	612.0	39.0	3.0		P4L			TREES	40.0	28.0	43.5	260.0									
11	00128.01*H	AL	'H1	50	50	CONC		FLD	H1						33-39-21.6200N	121161.6200N	085-49-28.0000W	308968.0000W	772.0																																							
12	00128.02*H	AL	'H1	100	75	ASPH			H1						33-37-35.0000N	121055.0000N	085-58-02.0000W	309482.0000W	686.0																																							
13	00133.5*A	AL	'01/19	2700	100	TURF-F			01	11.0		False	NSTD	P	34-58-31.5745N	125911.5745N	086-53-03.0187W	312783.0187W	922.0							TREE	51.0	19	191.0		False	NSTD	P	34-58-57.7640N	125937.7640N	086-52-56.6320W	312776.6320W	901.0							TREE	64.0												
14	00134.*H	KY	'H1	45	48	CONC			H1																																																	
15	00135.*A	AL	'09/27	4023	80	ASPH-G		MED	09			False	NPI	G	33-17-03.1100N	119823.1100N	085-48-55.9700W	308935.9700W	1065.9			200.0				POLE	35.0	27			False	NPI	G	33-17-03.1100N	119823.1100N	085-48-08.5800W	308888.5800W	1057.3							TREE	46.0	20.0				4023.0	4023.0			3823.0	4023.0		
16	00135.01*H	AL	'H1	24	21	CONC			H1						33-16-37.9800N	119797.9800N	085-49-29.3500W	308969.3500W	1040.0																																							
17	00137.*A	AL	'10/28	1800	60	TURF			10					G														28					G																									
18	00139.*H	AL	'H1	60	60	CONC			H1																																																	
19	00140.1*A	AL	'18/36	5001	80	ASPH-G		MED	18	180.0		False	NPI	F	31-01-22.8859N	111682.8859N	087-26-48.4001W	314808.4001W	283.2	40.0	3.0		P2L			RR	35.0	36	360.0		False	NPI	F	31-00-33.3886N	111633.3886N	087-26-48.2376W	314808.2376W	279.9	40.0	3.0		P2L			PLINE	50.0	16.0											
20	00146.*A	AL	'11/29	4000	75	ASPH-E		MED	11	107.0		False	NPI	G	32-37-10.4919N	117430.4919N	085-26-14.4647W	307574.4647W	774.9							TREES	26.0	29	287.0		False	NPI	G	32-36-58.7148N	117418.7148N	085-25-29.8200W	307529.8200W	766.3	22.0	3.0	297.0	P4L			POLE	44.0	25.0	42.0										
