	site_number	state	sequence_number	attendance_schedule
0	00103.*A	AL	1	UNATNDD
1	00106.*A	AL	1	UNATNDD
2	00108.*A	AL	1	UNATNDD
3	00110.*A	AL	1	ALL/ALL/0700-1900
4	00110.01*H	AL	1	ALL/ALL/ALL
5	00112.1*A	AL	1	ALL/MON-SAT/0700-DUSK
6	00112.1*A	AL	2	ALL/SUN/1230-DUSK
7	00116.*A	AL	1	ALL/MON-FRI/0800-1700
8	00119.*A	AL	1	UNATNDD
9	00124.*A	AL	4	ALL/SAT/0800-1630
10	00124.*A	AL	5	ALL/MON - FRI/0700-0000
11	00128.*A	AL	2	ALL/MON-FRI/0700-1800
12	00128.*A	AL	3	ALL/SAT-SUN/0800-1700
13	00128.01*H	AL	1	UNATNDD
14	00128.02*H	AL	1	ALL/MON-FRI/0800-1630
15	00133.5*A	AL	1	ALL/MON-FRI/DALGT
16	00134.*H	KY	1	UNATNDD
17	00135.*A	AL	2	UNATNDD
18	00135.01*H	AL	1	ALL/ALL/ALL
19	00137.*A	AL	1	UNATNDD
20	00139.*H	AL	1	UNATNDD
21	00140.1*A	AL	1	ALL/MON-FRI/0700-1700
22	00146.*A	AL	2	ALL/MON-FRI/0700-1900
23	00146.*A	AL	3	ALL/SAT-SUN/0800-1700
24	00155.*A	AL	3	ALL/ALL/0800-1700
25	00155.31*A	AL	1	ON CALL
26	00155.32*H	AL	1	ALL/ALL/DAWN-DUSK
27	00157.1*A	AL	1	ALL/ALL/0800-1800
28	00157.11*H	AL	1	ALL/ALL/ALL
29	00164.*A	AL	1	ALL/ALL/ALL
30	00164.05*H	AL	1	ALL/ALL/ALL
31	00164.06*H	AL	1	ALL/ALL/ALL
32	00164.07*H	AL	1	UNATNDD
33	00164.08*H	AL	1	IREG
34	00164.11*H	AL	1	UNATNDD
35	00164.12*H	AL	1	UNATNDD
36	00164.16*H	AL	1	ALL/ALL/ALL
37	00164.18*H	AL	1	UNATNDD
38	00164.19*H	AL	1	UNATNDD
39	00164.21*H	AL	1	UNATNDD
40	00164.9*A	AL	1	UNATNDD
41	00170.*A	AL	1	UNATNDD
42	00174.*H	AL	1	UNATNDD
43	00174.02*A	AL	1	UNATNDD
44	00180.*A	AL	1	UNATNDD
45	00183.0*A	AL	1	UNATTND
46	00186.*A	AL	1	ALL/MON-FRI/0730-1700
47	00186.*A	AL	2	ALL/SAT/0830-1700
48	00186.01*H	AL	1	UNATNDD
49	00189.*H	AL	1	UNATNDD
50	00199.003*H	AL	1	UNATNDD
51	00199.1*A	AL	1	UNATNDD
52	00207.1*A	AL	1	UNATNDD
53	00210.*A	AL	1	UNATNDD
54	00218.11*A	AL	1	ALL/ALL/ALL
55	00218.12*A	AL	1	UNATNDD
56	00218.7*A	AL	1	UNATNDD
57	00225.*A	AL	1	UNATNDD
58	00226.5*A	AL	1	UNATNDD
59	00226.51*A	AL	1	UNATNDD
60	00227.22*H	AL	1	UNATNDD
61	00228.*H	AL	1	ON CALL/ALL/ALL
62	00233.*A	AL	2	ALL/MON-FRI/0800-1700
63	00233.1*A	AL	1	UNATNDD
64	00234.*A	AL	1	UNATNDD
65	00241.*A	AL	1	UNATNDD
66	00241.19*H	AL	1	UNATNDD
67	00244.7*H	AL	1	UNATNDD
68	00245.*A	AL	1	ALL/MON-FRI/1400-1600
69	00245.*A	AL	2	ALL/SAT/0800-1200
70	00245.6*A	AL	1	UNATNDD
71	00246.*A	AL	1	UNATNDD
72	00248.3*A	AL	1	ALL/ALL/0700-1700
73	00248.32*H	AL	1	ALL/ALL/ALL
74	00249.4*H	AL	1	UNATNDD
75	00250.1*A	AL	1	UNATNDD
76	00250.13*H	AL	1	ALL/ALL/ON CALL
77	00250.2*A	AL	1	UNATNDD
78	00251.*A	AL	1	ALL/MON-FRI/0700-1800
79	00251.*A	AL	2	ALL/SAT-SUN/0800-1800
80	00251.02*H	AL	1	UNATNDD
81	00254.*A	AL	1	ALL/ALL/0800-1700
82	00254.01*H	AL	1	ALL/ALL/ALL
83	00266.21*H	AL	1	UNATNDD
84	00266.22*H	AL	1	ALL/ALL/ALL
85	00267.*A	AL	1	ALL/ALL/ALL
86	00267.2*A	AL	2	UNATTENDED/UNATTENDED/UNATTENDED
87	00267.6*A	AL	1	UNATNDD
88	00267.7*A	AL	1	ALL/ALL/DALGT
89	00267.81*A	AL	1	UNATNDD
90	00269.*A	AL	1	UNATNDD
91	00287.1*A	AL	1	ALL/MONDAY - FRIDAY/0700 - 1700
92	00287.1*A	AL	2	ALL/SATURDAY/0800 - 1700
93	00290.*A	AL	1	MAR-OCT/ALL/0800-1700
94	00290.*A	AL	2	NOV-FEB/ALL/0700-1600
95	00293.*A	AL	1	UNATNDD
96	00296.*A	AL	1	ALL/ALL/0800-1700
97	00296.01*H	AL	1	UNATNDD
98	00300.3*A	AL	1	ALL/ALL/0600-2000
99	00302.*A	AL	1	ALL/MON-FRI/0900-1300
100	00302.01*H	AL	1	UNATNDD
101	00305.*A	AL	1	UNATNDD
102	00305.01*H	AL	1	ALL/ALL/ALL
103	00306.*A	AL	1	UNATNDD
104	00308.1*H	AL	1	ALL/ALL/ALL
105	00308.5*A	AL	1	ALL/ALL/0800-2400
106	00310.*C	AL	1	UNATNDD
107	00310.1*A	AL	1	UNATNDD
108	00323.*A	AL	1	UNATNDD
109	00323.23*A	AL	1	UNATNDD
110	00323.24*H	AL	1	ALL/ALL/ALL
111	00323.3*A	AL	1	ALL/ALL/0800-1700
112	00323.4*A	AL	3	ALL/SAT-SUN/CLSD
113	00323.4*A	AL	4	ALL/HOLS/CLSD
114	00323.4*A	AL	5	ALL/MON-FRI/1330-2330Z+
115	00326.*A	AL	1	UNATNDD
116	00328.*A	AL	1	ALL/ALL/ALL
117	00328.1*A	AL	1	ALL/ALL/0700-1700
118	00328.11*H	AL	1	UNATNDD
119	00329.*A	AL	1	ALL/ALL/ALL
120	00329.01*H	AL	1	ALL/MON-FRI/0600-0030
121	00329.01*H	AL	2	EXCP HOL
122	00329.03*H	AL	1	ALL/MON-FRI/0700-0100
123	00329.03*H	AL	2	EXCP HOL
124	00329.06*H	AL	1	ALL/MON-FRI/1230-1800
125	00329.07*H	AL	1	UNATNDD
126	00329.08*H	AL	1	UNATNDD EXCP DURG TRNG
127	00329.09*H	AL	1	UNATNDD EXCP DURG TRNG
128	00329.1*H	AL	1	UNATNDD EXCP DURG TRNG
129	00329.11*H	AL	1	UNATNDD EXCP DURG TRNG
130	00329.12*H	AL	1	UNATNDD EXCP DURG TRNG
131	00329.13*H	AL	1	UNATNDD EXCP DURG TRNG
132	00329.14*H	AL	1	UNATNDD EXCP DURG TRNG
133	00329.15*H	AL	1	UNATNDD EXCP DURG TRNG
134	00329.16*H	AL	1	UNATNDD EXCP DURG TRNG
135	00329.17*H	AL	1	UNATNDD EXCP DURG TRNG
136	00329.18*H	AL	1	UNATNDD EXCP DURG TRNG
137	00329.2*H	AL	1	UNATNDD EXCP DURG TRNG
138	00329.21*H	AL	1	UNATNDD EXCP DURG TRNG
139	00329.22*H	AL	1	UNATNDD EXCP DURG TRNG
140	00329.23*H	AL	1	UNATNDD EXCP DURG TRNG
141	00329.24*H	AL	1	UNATNDD EXCP DURG TRNG
142	00329.25*H	AL	1	UNATNDD EXCP DURG TRNG
143	00333.*A	AL	2	FEB-OCT/ALL/0700-1900
144	00333.*A	AL	3	NOV-JAN/ALL/0700-1700
145	00333.01*H	AL	1	UNATNDD
146	00336.21*H	AL	1	UNATNDD
147	00336.5*A	AL	1	IREG
148	00341.1*A	AL	1	UNATNDD
149	00344.1*A	AL	1	ALL/MON-SAT/0800-1700
150	00344.1*A	AL	2	ALL/SUN/1200-1700
151	00344.13*H	AL	1	ALL/ALL/ALL
152	00350.1*A	AL	1	UNATTND
153	00353.1*A	AL	1	ALL/MON-SAT/0700-1600
154	00353.1*A	AL	2	ALL/SUN/1300-1700
155	00353.11*A	AL	1	UNATNDD
156	00353.12*A	AL	1	UNATNDD
157	00359.12*C	AL	2	ALL/ALL/ALL
158	00359.68*C	AL	1	UNATNDD
159	00359.69*C	AL	1	UNATNDD
160	00359.7*A	AL	6	ALL/ALL/0600-2200
161	00360.*A	AL	2	ALL/MON - SAT/0800-1700
162	00360.1*H	AL	1	ALL/ALL/ALL
163	00361.02*A	AL	1	IRREG
164	00363.*A	AL	1	ALL/MON-FRI/0800-1700
165	00366.1*A	AL	1	ALL/MON-FRI/0800-1630
166	00368.2*A	AL	1	UNATNDD
167	00371.*A	AL	1	UNATNDD
168	00372.*A	AL	1	ALL/ALL/ALL
169	00372.01*A	AL	1	UNATNDD
170	00374.09*H	AL	1	ON CALL
171	00374.1*A	AL	3	ALL/ALL/0800-1700
172	00374.5*A	AL	1	UNATNDD
173	00375.5*A	AL	1	ALL/TUE-SAT/0800-1700
174	00375.6*A	AL	1	IREG
