,ident,type,name,latitude,longitude,elevation_ft,state,municipality,service,gps_code,iata_code,local_code,website,wikipedia,keywords
0,00A,heliport,Total Rf Heliport,40.07080078125,-74.93360137939453,11.0,PA,Bensalem,False,00A,,00A,,,
1,00AA,small_airport,Aero B Ranch Airport,38.704021999999995,-101.473911,3435.0,KS,Leoti,False,00AA,,00AA,,,
2,00AK,small_airport,Lowell Field,59.94919968,-151.695999146,450.0,AK,Anchor Point,False,00AK,,00AK,,,
3,00AL,small_airport,Epps Airpark,34.86479949951172,-86.77030181884766,820.0,AL,Harvest,False,00AL,,00AL,,,
4,00AR,closed,Newport Hospital & Clinic Heliport,35.6087,-91.254898,237.0,AR,Newport,False,,,,,,00AR
5,00AS,small_airport,Fulton Airport,34.9428028,-97.8180194,1100.0,OK,Alex,False,00AS,,00AS,,,
6,00AZ,small_airport,Cordes Airport,34.305599212646484,-112.16500091552734,3810.0,AZ,Cordes,False,00AZ,,00AZ,,,
7,00CA,small_airport,Goldstone /Gts/ Airport,35.350498199499995,-116.88800048799999,3038.0,CA,Barstow,False,00CA,,00CA,,,
8,00CL,small_airport,Williams Ag Airport,39.427188,-121.76342700000001,87.0,CA,Biggs,False,00CL,,00CL,,,
9,00CN,heliport,Kitchen Creek Helibase Heliport,32.7273736,-116.45974170000001,3350.0,CA,Pine Valley,False,00CN,,00CN,,,
10,00CO,closed,Cass Field,40.622202,-104.344002,4830.0,CO,Briggsdale,False,,,,,,00CO
11,00FA,small_airport,Grass Patch Airport,28.64550018310547,-82.21900177001953,53.0,FL,Bushnell,False,00FA,,00FA,,,
12,00FD,heliport,Ringhaver Heliport,28.846599578857425,-82.34539794921875,25.0,FL,Riverview,False,00FD,,00FD,,,
13,00FL,small_airport,River Oak Airport,27.230899810791016,-80.96920013427734,35.0,FL,Okeechobee,False,00FL,,00FL,,,
14,00GA,small_airport,Lt World Airport,33.767501831054695,-84.06829833984375,700.0,GA,Lithonia,False,00GA,,00GA,,,
15,00GE,heliport,Caffrey Heliport,33.884201049804695,-84.73390197753906,957.0,GA,Hiram,False,00GE,,00GE,,,
16,00HI,heliport,Kaupulehu Heliport,19.832715,-155.980233,43.0,HI,Kailua/Kona,False,00HI,,00HI,,,
17,00ID,small_airport,Delta Shores Airport,48.145301818847656,-116.21399688720705,2064.0,ID,Clark Fork,False,00ID,,00ID,,,
18,00IG,small_airport,Goltl Airport,39.724028000000004,-101.39599399999999,3359.0,KS,McDonald,False,00IG,,00IG,,,
19,00II,heliport,Bailey Generation Station Heliport,41.64450073242188,-87.122802734375,600.0,IN,Chesterton,False,00II,,00II,,,
20,00IL,small_airport,Hammer Airport,41.97840118408203,-89.5604019165039,840.0,IL,Polo,False,00IL,,00IL,,,
21,00IN,heliport,St Mary Medical Center Heliport,41.51139831542969,-87.2605972290039,634.0,IN,Hobart,False,00IN,,00IN,,,
22,00IS,small_airport,Hayenga's Cant Find Farms Airport,40.02560043334961,-89.1229019165039,820.0,IL,Kings,False,00IS,,00IS,,,
